id,recommended_place,state,budget_preference,original_budget_preference,budget_changed,budget_confidence,budget_audit_reason,activity_interest,trip_duration,group_type,transportation_preference,accommodation_preference,destination_type,category,record_type,rating_imputed,price_myr_imputed,price_range_imputed,place_name,city,rating,rating_was_imputed,price_myr,price_range,duration,latitude,longitude,booking_link,source,original_recommended_place,original_place_name,original_category,original_destination_type,original_activity_interest,original_price_range,original_price_range_imputed,include_for_generator,price_basis_clean,data_quality_flags
53,Taman Agroteknologi Mardi Cameron Highlands,Pahang,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Public Transport,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Taman Agroteknologi Mardi Cameron Highlands,Cameron Highlands,4.3,False,0.0,Free,,4.467965899999999,101.385013,https://www.facebook.com/tamanagroteknologimardicameronhighlands/,Google Places,Taman Agroteknologi Mardi Cameron Highlands,Taman Agroteknologi Mardi Cameron Highlands,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
54,Taman Negara Johor Pulau Kukup,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Flight,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Taman Negara Johor Pulau Kukup,Johor Bahru,4.1,False,0.0,Free,,1.3224973,103.4283168,https://johornationalparks.gov.my/ms/pulau-kukup/,Google Places,Taman Negara Johor Pulau Kukup,Taman Negara Johor Pulau Kukup,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
55,Hean Boo Thean Kuan Yin Temple,Penang,Budget,Budget,False,medium,known_free_or_public_place,Culture,Half Day,Family,Car/Self-Drive,Hostel,Heritage & Culture,Religious & Cultural,attraction,4.6,0.0,Free,Hean Boo Thean Kuan Yin Temple,George Town,4.6,False,0.0,Free,,5.4093728,100.3381096,https://www.facebook.com/HEAN.BOO.THEAN,Google Places,Hean Boo Thean Kuan Yin Temple,Hean Boo Thean Kuan Yin Temple,Religious & Cultural,Heritage & Culture,Culture,Free,Free,True,source_price,
56,"Long Beach Manukan & Mamutik Island Hopping & Watersports, Kota Kinbalu, Sabah",Sabah,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Family,Boat,Budget Hotel,Beach & Island,Nature & Outdoors,attraction,4.7,0.0,Free,"Long Beach Manukan & Mamutik Island Hopping & Watersports, Kota Kinbalu, Sabah",Kota Kinabalu,4.7,False,0.0,Free,,5.9931875,116.0784375,https://longbeachsabah.com/,Google Places,"Long Beach Manukan & Mamutik Island Hopping & Watersports, Kota Kinbalu, Sabah","Long Beach Manukan & Mamutik Island Hopping & Watersports, Kota Kinbalu, Sabah",Sightseeing & Tours,Beach & Island,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword
57,Pantai Rusila,Terengganu,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Taxi/Grab,Hostel,Beach & Island,Nature & Outdoors,attraction,4.3,0.0,Free,Pantai Rusila,Kuala Terengganu,4.3,False,0.0,Free,,5.244465099999999,103.1878122,https://m.facebook.com/pages/Pantai-Rusila-Marang-Terengganu/264614610258369?nr,Google Places,Pantai Rusila,Pantai Rusila,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,
58,Tan Kim Seng Bridge,Melaka,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,1 Day,Family,Tour Bus,Homestay,City & Urban,Sightseeing & Tours,attraction,4.6,0.0,Free,Tan Kim Seng Bridge,Melaka,4.6,False,0.0,Free,,2.194548,102.2485065,https://www.penang-traveltips.com/malaysia/malacca/tan-kim-seng-bridge.htm,Google Places,Tan Kim Seng Bridge,Tan Kim Seng Bridge,Heritage & Museum,Heritage & Culture,Culture,Free,Free,True,source_price,category_reclassified_by_keyword
59,Mural • Second Concubine Lane,Perak,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,2-3 Days,Group of Friends,Car/Self-Drive,Hostel,Eco & Wildlife,Sightseeing & Tours,attraction,4.1,0.0,Free,Mural • Second Concubine Lane,Ipoh,4.1,False,0.0,Free,,4.595453,101.0779335,https://youtu.be/yg-Q_AEz2e4,Google Places,Mural Second Concubine Lane,Mural • Second Concubine Lane,Sightseeing & Tours,Eco & Wildlife,Sightseeing,Free,Free,True,source_price,
60,Memorial Tun Abdul Ghafar Baba,Melaka,Budget,Budget,False,medium,known_free_or_public_place,Culture,Half Day,Couple,Car/Self-Drive,Homestay,Heritage & Culture,Heritage & Museum,attraction,3.9,0.0,Free,Memorial Tun Abdul Ghafar Baba,Melaka,3.9,False,0.0,Free,,2.2234426,102.2597934,http://www.arkib.gov.my/,Google Places,Memorial Tun Abdul Ghafar Baba,Memorial Tun Abdul Ghafar Baba,Heritage & Museum,Heritage & Culture,Culture,Free,Free,True,source_price,
61,Friendship Park,Penang,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Group of Friends,Public Transport,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Friendship Park,George Town,4.3,False,0.0,Free,,5.4215481,100.3365847,https://m.facebook.com/pages/Friendship-Park-Penang/140864029923919?rf=260761558127505,Google Places,Friendship Park,Friendship Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
62,Terradala Museum Cafe,Terengganu,Budget,Budget,False,medium,known_free_or_public_place,Food,Half Day,Solo,Tour Bus,Homestay,Food & Culinary,Food & Dining,attraction,4.4,0.0,Free,Terradala Museum Cafe,Kuala Terengganu,4.4,False,0.0,Free,,5.3337683,103.1396602,http://www.terradala.com/,Google Places,Terradala Museum Cafe,Terradala Museum Cafe,Food & Dining,Heritage & Culture,Food,Free,Free,True,source_price,category_reclassified_by_keyword
63,Shah Alam Lake Park (East Lake,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Public Transport,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.7,0.0,Free,Shah Alam Lake Park (East Lake,Kuala Lumpur,4.7,False,0.0,Free,,3.0771575,101.5199623,https://www.visitselangor.com/taman-tasik-shah-alam/,Google Places,Shah Alam Lake Park (East Lake),Shah Alam Lake Park (East Lake,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
64,Meng Eng Soo Memorial Hall,Penang,Budget,Budget,False,medium,known_free_or_public_place,Culture,Half Day,Couple,Public Transport,Homestay,Heritage & Culture,Heritage & Museum,attraction,4.5,0.0,Free,Meng Eng Soo Memorial Hall,George Town,4.5,False,0.0,Free,,5.417403000000001,100.334386,https://www.facebook.com/MengEngSoo/,Google Places,Meng Eng Soo Memorial Hall,Meng Eng Soo Memorial Hall,Heritage & Museum,Heritage & Culture,Culture,Free,Free,True,source_price,
65,Penang Monkey Beach,Penang,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Car/Self-Drive,Homestay,Beach & Island,Nature & Outdoors,attraction,3.9,0.0,Free,Penang Monkey Beach,George Town,3.9,False,0.0,Free,,5.4719378,100.1859326,https://wa.me/60102340235,Google Places,Penang Monkey Beach,Penang Monkey Beach,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,
66,Mbks New Norms Park,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Flight,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.5,0.0,Free,Mbks New Norms Park,Kuching,4.5,False,0.0,Free,,1.5478932,110.3630988,https://arkitekjfn.blogspot.com/p/new-norms-park.html?m=1,Google Places,Mbks New Norms Park,Mbks New Norms Park,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
67,Pantai Pasir Panjang,Kedah,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,1 Day,Solo,Public Transport,Budget Hotel,Beach & Island,Sightseeing & Tours,attraction,4.4,0.0,Free,Pantai Pasir Panjang,Langkawi,4.4,False,0.0,Free,,6.4692094,99.8424565,https://www.facebook.com/pages/Pantai-Pasir-Panjang-Langkawi/266380033461515?_rdr,Google Places,Pantai Pasir Panjang,Pantai Pasir Panjang,Sightseeing & Tours,Beach & Island,Sightseeing,Free,Free,True,source_price,
68,Chaoyuan Palace,Penang,Budget,Budget,False,medium,known_free_or_public_place,Culture,Half Day,Family,Car/Self-Drive,Hostel,Heritage & Culture,Heritage & Museum,attraction,4.5,0.0,Free,Chaoyuan Palace,George Town,4.5,False,0.0,Free,,5.4127544,100.3395637,https://www.facebook.com/share/1DNfDDCiYN/,Google Places,Chaoyuan Palace,Chaoyuan Palace,Religious & Cultural,Heritage & Culture,Culture,Free,Free,True,source_price,category_reclassified_by_keyword
69,Tanjung Aru Beach,Sabah,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Solo,Car/Self-Drive,Budget Hotel,Beach & Island,Nature & Outdoors,attraction,4.0,0.0,Free,Tanjung Aru Beach,Kota Kinabalu,4.0,False,0.0,Free,,5.955220199999999,116.0464094,http://dbkk.sabah.gov.my/,Google Places,Tanjung Aru Beach Phase 1 Sunset View Point,Tanjung Aru Beach Phase 1 Sunset View Point,Sightseeing & Tours,Beach & Island,Sightseeing,Free,Free,True,source_price,canonical_place_extracted;category_reclassified_by_keyword
70,Cameron Highlands,Pahang,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.8,0.0,Free,Cameron Highlands,Cameron Highlands,4.8,False,0.0,Free,,4.4953736,101.3798818,https://nepenthestravels.com/,Google Places,Cameron Highlands Mossy Forest Tour,Cameron Highlands Mossy Forest Tour,Sightseeing & Tours,Highland & Nature,Sightseeing,Free,Free,True,source_price,canonical_place_extracted;category_reclassified_by_keyword
71,Tasik Rekreasi Likas,Sabah,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Flight,Hostel,Beach & Island,Nature & Outdoors,attraction,4.6,0.0,Free,Tasik Rekreasi Likas,Kota Kinabalu,4.6,False,0.0,Free,,5.982268,116.0920718,http://www.facebook.com/pages/Kompleks-Sukan-Likas/174343905918904,Google Places,Tasik Rekreasi Likas,Tasik Rekreasi Likas,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,
72,One Ground @ Golden Hills Cameron Highland,Pahang,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Car/Self-Drive,Homestay,Highland & Nature,Nature & Outdoors,attraction,3.8,0.0,Free,One Ground @ Golden Hills Cameron Highland,Cameron Highlands,3.8,False,0.0,Free,,4.485926,101.3705425,https://www.instagram.com/oneground.og/,Google Places,One Ground @ Golden Hills Cameron Highland,One Ground @ Golden Hills Cameron Highland,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
73,Tunku Abdul Rahman Putra Memorial,Kuala Lumpur,Budget,Budget,False,medium,known_free_or_public_place,Culture,Half Day,Solo,Taxi/Grab,Hostel,Heritage & Culture,Heritage & Museum,attraction,4.2,0.0,Free,Tunku Abdul Rahman Putra Memorial,Kuala Lumpur,4.2,False,0.0,Free,,3.1564704,101.69053230000002,https://www.arkib.gov.my/,Google Places,Tunku Abdul Rahman Putra Memorial,Tunku Abdul Rahman Putra Memorial,Heritage & Museum,Heritage & Culture,Culture,Free,Free,True,source_price,
74,Kilim Karst Geoforest Park,Kedah,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Couple,Flight,Homestay,Eco & Wildlife,Nature & Outdoors,attraction,4.6,0.0,Free,Kilim Karst Geoforest Park,Langkawi,4.6,False,0.0,Free,,6.4053727,99.8563744,https://www.wassap.my/+60104567706/langkawimangrovesantaiitgrhu,Google Places,Langkawi Mangrove Santai-Santai@Kilim Geopark,Langkawi Mangrove Santai-Santai@Kilim Geopark,Sightseeing & Tours,Eco & Wildlife,Sightseeing,Free,Free,True,source_price,canonical_place_extracted;category_reclassified_by_keyword
75,Tun Hussein Onn Memorial,Kuala Lumpur,Budget,Budget,False,medium,known_free_or_public_place,Culture,Half Day,Solo,Public Transport,Hostel,Heritage & Culture,Heritage & Museum,attraction,4.5,0.0,Free,Tun Hussein Onn Memorial,Kuala Lumpur,4.5,False,0.0,Free,,3.1556782,101.6909461,http://www.arkib.gov.my/,Google Places,Tun Hussein Onn Memorial,Tun Hussein Onn Memorial,Heritage & Museum,Heritage & Culture,Culture,Free,Free,True,source_price,
76,Borneo Murals Alley,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,2-3 Days,Family,Car/Self-Drive,Budget Hotel,Eco & Wildlife,Sightseeing & Tours,attraction,3.7,0.0,Free,Borneo Murals Alley,Kuching,3.7,False,0.0,Free,,1.5595147,110.3427693,https://www.vidadeliya.com/most-instagrammable-street-art-in-kuching-malaysia/,Google Places,Borneo Murals Alley,Borneo Murals Alley,Sightseeing & Tours,Eco & Wildlife,Sightseeing,Free,Free,True,source_price,
77,Tun Abdul Razak Memorial,Kuala Lumpur,Budget,Budget,False,medium,known_free_or_public_place,Culture,1 Day,Family,Public Transport,Hostel,Heritage & Culture,Heritage & Museum,attraction,4.1,0.0,Free,Tun Abdul Razak Memorial,Kuala Lumpur,4.1,False,0.0,Free,,3.1417537,101.6870311,http://www.arkib.gov.my/,Google Places,Tun Abdul Razak Memorial,Tun Abdul Razak Memorial,Heritage & Museum,Heritage & Culture,Culture,Free,Free,True,source_price,
78,"Hornbill, Hibiscus, Harmony #Tanahairku Street Art",Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,1 Day,Couple,Tour Bus,Hostel,City & Urban,Sightseeing & Tours,attraction,4.5,0.0,Free,"Hornbill, Hibiscus, Harmony #Tanahairku Street Art",Kuching,4.5,False,0.0,Free,,1.5577866,110.3483262,https://www.kuchingsarawak.com/2020/07/20/street-art-of-kuching/,Google Places,"Hornbill, Hibiscus, Harmony #Tanahairku Street Art","Hornbill, Hibiscus, Harmony #Tanahairku Street Art",Sightseeing & Tours,Eco & Wildlife,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword
79,River Park,Perak,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Taxi/Grab,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,2.6,0.0,Free,River Park,Ipoh,2.6,False,0.0,Free,,4.594161800000001,101.0791473,https://youtu.be/yg-Q_AEz2e4,Google Places,River Park,River Park,Sightseeing & Tours,Heritage & Culture,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword
80,Ewe Hai Street Art,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,2-3 Days,Solo,Car/Self-Drive,Hostel,City & Urban,Sightseeing & Tours,attraction,4.6,0.0,Free,Ewe Hai Street Art,Kuching,4.6,False,0.0,Free,,1.5579875,110.3470518,https://kcholdbazaar.com/wooden-clogs-shops/,Google Places,Ewe Hai Street Art,Ewe Hai Street Art,Sightseeing & Tours,City & Urban,Sightseeing,Free,Free,True,source_price,
81,Sabah Parks,Sabah,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Sabah Parks,Kota Kinabalu,4.3,False,0.0,Free,,5.9695611,116.0647235,https://www.sabahparks.org.my/,Google Places,Sabah Parks,Sabah Parks,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
82,Taman Perpaduan,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Tour Bus,Homestay,Beach & Island,Nature & Outdoors,attraction,4.5,0.0,Free,Taman Perpaduan,Kuching,4.5,False,0.0,Free,,1.5526115,110.3464416,https://m.facebook.com/pages/Reservior-Park-Kuching/1848108015477582,Google Places,Taman Perpaduan,Taman Perpaduan,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,
83,Kopijail,Melaka,Budget,Budget,False,medium,known_free_or_public_place,Food,Half Day,Couple,Tour Bus,Hostel,Food & Culinary,Food & Dining,attraction,4.4,0.0,Free,Kopijail,Melaka,4.4,False,0.0,Free,,2.1887205,102.2626022,https://linktr.ee/kopijail?utm_source=linktree_profile_share&ltsid=778d3d39-cb38-4840-a7db-f64a93fd4398,Google Places,Kopijail,Kopijail,Food & Dining,Food & Culinary,Food,Free,Free,True,source_price,
84,Ecopeak Highlands (Mossy Forest Cameron,Pahang,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Tour Bus,Homestay,Eco & Wildlife,Nature & Outdoors,attraction,4.9,0.0,Free,Ecopeak Highlands (Mossy Forest Cameron,Cameron Highlands,4.9,False,0.0,Free,,4.4697125,101.3760382,https://www.instagram.com/ecopeak_highlands,Google Places,Ecopeak Highlands (Mossy Forest Cameron Tour),Ecopeak Highlands (Mossy Forest Cameron Tour,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,category_reclassified_by_keyword;name_normalized;product_text_removed
85,D'Lavender Beach Stay,Terengganu,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Taxi/Grab,Hostel,Beach & Island,Nature & Outdoors,attraction,3.7,0.0,Free,D'Lavender Beach Stay,Kuala Terengganu,3.7,False,0.0,Free,,5.22061,103.1999572,https://m.facebook.com/dlavender.marang,Google Places,D'Lavender Beach Stay,D'Lavender Beach Stay,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,
86,Prehistory Garden Psn (Taman Prasejarah Psn,Kuala Lumpur,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.4,0.0,Free,Prehistory Garden Psn (Taman Prasejarah Psn,Kuala Lumpur,4.4,False,0.0,Free,,3.1472845,101.6453227,http://www.psn.gov.my/,Google Places,Prehistory Garden Psn (Taman Prasejarah Psn),Prehistory Garden Psn (Taman Prasejarah Psn,Heritage & Museum,Heritage & Culture,Culture,Free,Free,True,source_price,category_reclassified_by_keyword
87,Kasalagan Park,Sabah,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Kasalagan Park,Kota Kinabalu,4.1,False,0.0,Free,,6.0141553,116.2445928,http://www.adventureculturalvillage.blogspot.com/,Google Places,Kasalagan Park,Kasalagan Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
88,Melaka River Cruise Jeti Taman Rempah,Melaka,Moderate,Budget,True,medium,free_source_but_paid_attraction_or_facility_keyword,Sightseeing,2-3 Days,Couple,Boat,Homestay,City & Urban,Sightseeing & Tours,attraction,4.4,0.0,Free,Melaka River Cruise Jeti Taman Rempah,Melaka,4.4,False,0.0,Free,,2.2073436,102.2518114,https://www.melakarivercruise.my/,Google Places,Melaka River Cruise Jeti Taman Rempah,Melaka River Cruise Jeti Taman Rempah,Sightseeing & Tours,Heritage & Culture,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword
89,Thean Hou Temple,Kuala Lumpur,Budget,Budget,False,medium,known_free_or_public_place,Culture,1 Day,Group of Friends,Taxi/Grab,Hostel,Heritage & Culture,Religious & Cultural,attraction,4.6,0.0,Free,Thean Hou Temple,"Kuala Lumpur, Malaysia",4.6,False,0.0,Free,,3.1219525000000004,101.6876678,https://hainannet.com.my/,Google Places,Thean Hou Temple,Thean Hou Temple,Religious & Cultural,Heritage & Culture,Culture,Free,Free,True,source_price,
90,Legenda Park,Kedah,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Tour Bus,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Legenda Park,Langkawi,4.2,False,0.0,Free,,6.3089226,99.8546066,https://www.welovelangkawi.com/listing/langkawi-lagenda-park/,Google Places,Legenda Park,Legenda Park,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
91,Damai Central,Sarawak,Budget,Budget,False,medium,known_free_or_public_place,Food,Half Day,Group of Friends,Car/Self-Drive,Homestay,Food & Culinary,Food & Dining,attraction,4.1,0.0,Free,Damai Central,Kuching,4.1,False,0.0,Free,,1.7500776999999998,110.3148915,http://www.facebook.com/DamaiCentral.Kuching,Google Places,Damai Central,Damai Central,Food & Dining,Food & Culinary,Food,Free,Free,True,source_price,
92,Anjung Kinabalu (Akina Night Market,Sabah,Budget,Budget,False,medium,known_free_or_public_place,Shopping,Half Day,Solo,Flight,Budget Hotel,City & Urban,Shopping,attraction,3.9,0.0,Free,Anjung Kinabalu (Akina Night Market,Kota Kinabalu,3.9,False,0.0,Free,,5.9805255,116.0712507,https://dbkk.sabah.gov.my/,Google Places,Anjung Kinabalu (Akina Night Market),Anjung Kinabalu (Akina Night Market,Shopping,Eco & Wildlife,Shopping,Free,Free,True,source_price,category_reclassified_by_keyword
